职位,薪资,公司,公司信息,公司地址,地区,工作经验,学历,人数,时间,岗位信息
['大数据开发工程师'],['1-2.5万/月'],['苏州瑞翼信息技术有限公司'],['民营公司| 150-500人| 通信/电信运营、增值服务 互联网/电子商务'],['上班地址 : 苏州工业园区星湖街328号 创意产业园6-301单元'],['苏州-工业园区'],['本科'],[],['4人'],['2019-02-22'],"岗位职责：1、基于Hadoop/Spark的大数据处理和分析平台的架构和开发；2、负责分析新的数据需求, 完成数据处理的设计文档和实现；3、负责数据处理程序设计框架改善, 数据处理性能优化, 系统数据处理的能力提高。 任职要求：1、本科学历须211院校及以上，硕士及以上学历不限院校， 计算机软件及相关专业；2、1年以上工作经验，精通Java，Python或者scala，熟练掌握基础算法，数据结构和linux开发环境；3、了解数据挖掘、机器学习、并行计算相关理论；4、有hadoop平台项目开发经验， 熟悉Hadoop、HBase、Hive、Spark、Mapreduce、Flume、Kafka、Storm、ETL等相关技术或者工具至少3个以上；5、有风控、推荐、人群画像等领域模型构建和调优工作经验者优先；6、学习能力强，喜欢研究新技术，有团队观念，具备独立解决问题的能力。"
['大数据开发工程师'],['1-1.5万/月'],['广州优亿信息科技有限公司'],['民营公司| 50-150人| 通信/电信/网络设备 通信/电信运营、增值服务'],['上班地址 : 越秀区广东广播中心大楼'],['广州'],['2年工作经验'],['本科'],['2人'],['2019-02-22'],岗位职责:1.按照项目计划，配合项目经理，按时提交高质量代码，完成开发任务；2.规范文档的编写、维护，以及其他与项目相关工作；3.及时反馈开发中遇到的难点问题，沟通并寻求解决方案，按阶段有计划地完成开发任务；4.对系统进行单元测试，并配合测试人员进行产品测试和验收工作，并审核测试用例等；5.对现有系统的设计代码进行复核，根据业务部门的需求对现有系统进行调整、优化、功能扩展。6.有独立工作能力，工作踏实认真，以及较强的团队协作精神。任职资格:1、计算机等相关专业本科以上学历，2年以上JAVA项目开发经验；2、熟练使用SQL，熟悉Mysql、MongoDB、Hive等数据库技术的基本操作及原理；3、有运营商（移动、联通、电信、广电）BOSS系统对接经验者优先；4、熟悉Hadoop(MapReduce/HDFS)、HBase、Spark、Strom等开源大数据技术的开发与部署者优先；5、熟悉常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等）者优先。6、有很强的理解具体业务的能力，针对不同业务能有相应的处理方法；7、较强的逻辑思维能力，具有良好的自学能力和解决问题的能力；
['(DSP项目)数据开发工程师'],['1.5-2.5万/月'],['上海高欣计算机系统有限公司'],['民营公司| 500-1000人| 计算机软件 互联网/电子商务'],['上班地址 : 银冬路491号2幢'],['上海-浦东新区'],['2年工作经验'],['本科'],['1人'],['2019-02-22'],"1. 参与/负责数据仓库ETL（数据抽取、加载、清洗、转换）处理任务的设计和开发工作2. 参与/负责数据报表的设计和开发工作3. 参与/支持相关BI业务分析的开发和实施工作 岗位要求：1.掌握数据库基本知识,对数据库内部结构有较深理解和认识2.精通mysql/oracle/hbase等数据库,具有数据模型设计的能力3.精通sql语句编写,具有1年以上基于数据库开发的经验4.具备数据挖掘,数据迁移,ETL处理,sql语句优化,海量数据处理的工作经验5.熟悉Linux操作系统常用命令6.工作严谨细致,有责任心,勤奋踏实,善于思考问题,具有团队合作精神，能承受一定的工作压力；7.有良好的人际关系和沟通能力，有大型项目经验优先；8.熟悉广告业务的优先9.熟悉hadoop使用经验优先"
['数据开发工程师'],['3-8千/月'],['杭州煎饼网络技术有限公司'],['民营公司| 150-500人| 互联网/电子商务 金融/投资/证券'],['上班地址 : 西湖区双龙街199号金色西溪B座6层'],['杭州'],['本科'],[],['1人'],['2019-02-22'],岗位职责：1、维护爬虫程序2、研究反爬策略3、维护数据分析处理程序4、参与部分大数据开发职位要求：1、熟悉JavaScript、Node.JS，其他语言也可。2、有爬虫经验或熟悉Http协议优先。3、了解Node.JS后台开发或大数据技术加分。4、有反爬绕过经验优先。5、了解掌握Linux命令加分。6、计算机基础知识扎实加分。
['大数据开发工程师'],['0.5-1万/月'],['合肥斡亿信息科技有限公司'],['民营公司| 50-150人| 计算机软件 互联网/电子商务'],['上班地址 : 创新大道2800号创新产业园二期F4楼4层'],['合肥-高新区'],['2年工作经验'],['本科'],['3人'],['2019-02-22'],岗位职责：1、负责各种网络数据的采集、清洗、整合工作；2、负责大数据的分布式存储和管理工作；3、负责大数据项目的开发、维护工作；4、负责部分设计、开发文档的编写工作。任职资格：1、计算机、通信、数学相关专业本科及以上、2年左右的工作经验； 2、熟悉java，python 有较强的工程能力； 3、熟悉Hadoop(HDFS/MapReduce/Hive)、Spark、HBase、Kafka、Flume等常见框架；4、具有较强的学习能力，有团队观念，能独立解决问题；5、具有金融行业背景优先。薪资待遇：1、基本工资+绩效工资+项目提成；2、五险一金、双休、餐补、员工活动、带薪年假、定期员工活动等；3、近2000平开放式办公，管理扁平化，员工年轻化（90后的地盘），团队氛围轻松，部门之间高度协调配合；深厚的政府和运营商合作关系，资源开放，晋升发展快；4、管理+技能双向晋升，为每位员工提供广阔的职业发展平台。
['大数据开发工程师'],['0.8-1.3万/月'],['重庆森鑫炬科技有限公司'],['民营公司| 50-150人| 计算机软件'],['上班地址 : 上清寺环球互联网广场13楼ABCF座'],['重庆-渝中区'],[],[],['1人'],['2019-02-22'],"岗位职责：1.负责大数据平台的开发、维护工作；2.负责大数据采集、清洗、整合等工作；3.负责大数据平台文本挖掘分析等工作；4.负责BI及报表开发。任职要求：1、深厚的Java功底，多年的并发编程经验；2、参与过分布式高性能服务的设计开发过程，有大规模分布式系统的实践经验；3、熟悉HDFS/HBase/Hive/MapReduce/Storm/Spark等相关技术,有 MapReduce 程序的实战开发经验；4、熟悉Hadoop运行监控及调优技术；5、熟悉常见存储技术（Sqlserver ,Oracle, Mysql, NosqlDB、Redis、ElasticSearch），WebService/WebAPI（SOAP/json）；6、熟悉Scala语言优先；7、计算机、软件工程及相关专业本科或以上学历，1年以上相关项目开发经验。"
['大数据开发工程师'],['1-2.5万/月'],['宝德融资租赁（上海）有限公司'],['民营公司| 1000-5000人| 金融/投资/证券 租赁服务'],['上班地址 : 福山路388号越秀大厦308'],['上海-浦东新区'],['3-4年工作经验'],['本科'],['2人'],['2019-02-22'],"岗位职责：1、负责大数据平台的搭建、发布部署及相关维护工作；2、负责大数据平台和集群的预警和监控，搭建监控机制以及及时发现集群问题，持续提升系统稳定性3、跟进并处理系统事件，对系统问题及故障解决跟踪优化，负责服务状况与服务质量报告，不断提升集群服务质量；4、梳理优化业务使用集群的流程和规范，使集群使用在资源利用、质量等方面均达到较高水5、日常跟踪业界技术发展动态，并结合业务发展需求，研究引入新技术。任职要求：1、3年以上hadoop集群使用经验；熟悉hadoop相关组件的原理，具备调优和性能优化能力。组件包含不限于：Hadoop/Impala/Hive/Spark/flink/storm/kylin 等等；2、有实际踩坑经历, 对于相关组件的版本跟进, 补丁跟踪, bug追踪等有相关经验；3、熟悉计算机网络，精通linux，熟悉shell、perl、java、scala或python其中两种以上编程语言；4、实际处理过各种集群在线版本升级, 数据迁移, 集群扩容, 稳定性监控等工作；5、熟悉主流数据库技术，熟悉mysql和pg优先，熟悉常用的ETL工具，kettle优先；6、积极主动、学习能力强、沟通能力强、肯吃苦耐劳。"
['大数据开发工程师'],['3-6万/月'],['北京恩穗企业咨询有限责任公司'],['民营公司| 少于50人| 专业服务(咨询、人力资源、财会)'],['上班地址 : 星创科技广场'],['上海-浦东新区'],['3-4年工作经验'],['本科'],['2人'],['2019-02-22'],工作职责：1. 负责基于Hadoop开源系统的大数据平台设计、开发、维护。2. 开发统一平台，负责任务调度、资源分配、抽象元数据、自动优化、监控报警、等等。职位要求：1. 本科及以上学历，3年以上大数据平台研发经验。2. 具有扎实的编程功底，熟悉常用的算法和数据结构，掌握Java/Python/Scala/Golang等一种以上语言的开发能力。3. 熟悉Linux系统， 精通一门 脚本语言(Shell/Perl/Python等)4. 熟悉开源分布式计算/存储相关技术，包括Hadoop、HBase、Hive、Spark、Presto、Kafka、Cassandra、ES、Flink、K8S等。5. 独立，负责，团队沟通协作，技术意识，自驱驱他。
['大数据开发工程师'],['1-2万/月'],['杭州小桃微集网络科技有限公司'],['民营公司| 50-150人| 互联网/电子商务'],['上班地址 : 高德置地中心1号楼35F'],['杭州-江干区'],['3-4年工作经验'],['本科'],['1人'],['2019-02-22'],"岗位要求：1、负责公司内数据分析需求的开发工作，及相关沟通；2、负责大数据平台系统的建设管理工作。任职要求：1、3年以上大数据软件开发相关从业经验，本科或以上学历，计算机、软件工程等相关专业；2 、掌握J2EE技术，熟悉常用算法和数据结构，熟悉网络编程、多线程编程技术,理解操作系统原理；熟练使用关系型数据库及SQL（如：ORACLE、MYSQL等）；3 、熟悉HDFS/HBase/Hive/MapReduce/Storm/Spark等相关技术；4、具备MapReduce、Sqoop、Flume、Kafka、Redis、Storm、Spark中两种以上工具的开发和实施经验，有Spark 程序实战开发者优先；有数据挖掘、机器学习、数据仓库或BI相关经验优先；5、较强的责任心；良好的敬业精神和团队协作精神；较强的沟通协调能力和学习能力；能够承受较大的工作强度和工作压力。工作地点：杭州市江干区钱江新城高德置地中心北塔35F地铁站：4号线市民中心E出口"
['资深数据开发工程师 （西安)'],['1.5-2万/月'],['杭州数云信息技术有限公司'],['民营公司| 150-500人| 互联网/电子商务 计算机软件'],['上班地址 : 高新三路人保大厦1807室'],['西安-雁塔区'],['5-7年工作经验'],['大专'],['2人'],['2019-02-22'],"职位描述：  1.负责离线计算平台的开发和维护工作；  2.负责HBase/TiDB的开发与维护工作；  3.负责Spark、Flink开发维护工作；  4.参与数据平台的设计开发，满足业务方对于实时数据的需求。  5.深入理解数据业务，分析用户需求，能够从用户角度推动业务发展，提升公司数据应用能力。     资格要求：  1.5年以上数据分析领域开发经验，熟悉Java、Scala/Go的一种；  2.对数据库系统或分布式系统的原理和架构有较好的了解；  3.优秀学习能力、发现和解决问题能力，良好的沟通能力和团队意识。  加分项：  1.熟悉Hadoop生态，参加过开源项目；  2.熟悉Hive、Spark、HDFS、HBase、TiDB、Kafka中至少两种产品的实现细节,并应用开发；  3.有数据库/数据治理产品的开发和运维经验。  4.以上技术栈能够很深入应用或精通某一种也可以，如精通Flink或精通Spark之一即可；"
